ref_date,ref_no,ref_type,description,debt_increment_amount,debt_decrement_amount,debt_opening_amount,account_object_name,account_object_code,account_object_id,running_balance,debt_report_detail_id,branch_id,branch_name,session_id,detail_id,ref_id,is_bold
,,,Số dư nợ đầu kỳ,0.0,0.0,0.0,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI TỔNG HỢP THỰC PHẨM QUỐC KHÁNH,NCC012QUOCKHANH,01eed446-dba0-441c-83e1-62e83a04f605,0.0,a55b25f2-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,1,a55b25b9-8bc6-11f1-9b18-005056b2a5de,1
,,,Tổng,,,,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI TỔNG HỢP THỰC PHẨM QUỐC KHÁNH,NCC012QUOCKHANH,01eed446-dba0-441c-83e1-62e83a04f605,0.0,a55bd58c-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,2,a55bd550-8bc6-11f1-9b18-005056b2a5de,1
,,,Số dư nợ đầu kỳ,0.0,0.0,0.0,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI ĐẮC HƯNG TẠI NINH THUẬN,NCC007DACHUNG,0206a6c4-c344-40cb-99e7-d52df26fd7f1,0.0,a55c4dfa-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,3,a55c4dbf-8bc6-11f1-9b18-005056b2a5de,1
,,,Tổng,0.0,0.0,,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI ĐẮC HƯNG TẠI NINH THUẬN,NCC007DACHUNG,0206a6c4-c344-40cb-99e7-d52df26fd7f1,0.0,a55d051e-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,5,a55d04f7-8bc6-11f1-9b18-005056b2a5de,1
,,,Số dư nợ đầu kỳ,0.0,0.0,1392000.0,CÔNG TY TNHH THƯƠNG MẠI TƯỜNG LAM,NCC039TUONGLAM,0475d7d3-8104-44d2-985a-c064b37b6c80,1392000.0,a55d93ec-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,6,a55d93c5-8bc6-11f1-9b18-005056b2a5de,1
,,,Tổng,,,,CÔNG TY TNHH THƯƠNG MẠI TƯỜNG LAM,NCC039TUONGLAM,0475d7d3-8104-44d2-985a-c064b37b6c80,1392000.0,a55e0940-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,7,a55e0921-8bc6-11f1-9b18-005056b2a5de,1
,,,Số dư nợ đầu kỳ,0.0,0.0,0.0,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ BỎNG GẠO,NCC045BONGGAO,06d9117c-3767-4cfd-b867-a75eeb597546,0.0,a55e5eb0-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,8,a55e5e92-8bc6-11f1-9b18-005056b2a5de,1
,,,Tổng,,,,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ BỎNG GẠO,NCC045BONGGAO,06d9117c-3767-4cfd-b867-a75eeb597546,0.0,a55ecc8e-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,9,a55ecc63-8bc6-11f1-9b18-005056b2a5de,1
,,,Số dư nợ đầu kỳ,0.0,0.0,0.0,CÔNG TY TNHH PHÁT TƯỜNG AN,NCC023PHATTUONGAN,0e33db0a-cbe4-4828-bc0c-22970cb304d8,0.0,a55f2c57-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,10,a55f2c2e-8bc6-11f1-9b18-005056b2a5de,1
,,,Tổng,,,,CÔNG TY TNHH PHÁT TƯỜNG AN,NCC023PHATTUONGAN,0e33db0a-cbe4-4828-bc0c-22970cb304d8,0.0,a55f8e8a-8bc6-11f1-9b18-005056b2a5de,,,a556e3ed-8bc6-11f1-9b18-005056b2a5de,11,a55f8e6b-8bc6-11f1-9b18-005056b2a5de,1
