lot_no,expired_date,inventory_item_name,inventory_item_code,unit_name,opening_quantity,inward_quantity,outward_quantity,closing_quantity,opening_amount,inward_amount,outward_amount,closing_amount,stock_name,shop_name,inventory_item_id,inventory_summary_report_id,inventory_item_category_name,brand_name,vendor_name_list,session_id,detail_id,is_parent,parent_id,grade,is_bold,inventory_item_code_parent,inventory_item_name_parent
,,1664 BLANC Bia Lon 250ml,01__BLO__BLC__164__250,Lon,21.0,0.0,26.0,-5.0,,,,,Tổng,,9ee9512e-33d3-4980-9b3a-18657fde9a32,3fb4cf99-8bc7-11f1-9b18-005056b2a5de,Bia Lon,1664 BLANC,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,1,1,,1,True,01__BLO__BLC__164__250,1664 BLANC Bia Lon 250ml
,,Kho Kệ,01__BLO__BLC__164__250,Lon,21.0,0.0,26.0,-5.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9ee9512e-33d3-4980-9b3a-18657fde9a32,3fb4d993-8bc7-11f1-9b18-005056b2a5de,Bia Lon,1664 BLANC,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,2,0,9ee9512e-33d3-4980-9b3a-18657fde9a32,2,False,01__BLO__BLC__164__250,1664 BLANC Bia Lon 250ml
,,1664 BLANC Bia Lon 330ml,01__BLO__BLC__164__330,Lon,24.0,0.0,0.0,24.0,,,,,Tổng,,9dffea9a-1e7d-47a6-b704-38830a21e33c,3fb4db1a-8bc7-11f1-9b18-005056b2a5de,Bia Lon,1664 BLANC,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),3eaf0580-8bc7-11f1-9b18-005056b2a5de,3,1,,1,True,01__BLO__BLC__164__330,1664 BLANC Bia Lon 330ml
,,Kho MIRA,01__BLO__BLC__164__330,Lon,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9dffea9a-1e7d-47a6-b704-38830a21e33c,3fb4dc25-8bc7-11f1-9b18-005056b2a5de,Bia Lon,1664 BLANC,CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),3eaf0580-8bc7-11f1-9b18-005056b2a5de,4,0,9dffea9a-1e7d-47a6-b704-38830a21e33c,2,False,01__BLO__BLC__164__330,1664 BLANC Bia Lon 330ml
,,BUDWEISER Bia Lon 250ml,01__BLO__BUD__LON__250,Lon,34.0,0.0,44.0,-10.0,,,,,Tổng,,980e2373-eba1-4c90-8a9b-568c576f3f2c,3fb4dd49-8bc7-11f1-9b18-005056b2a5de,Bia Lon,BUDWEISER,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,5,1,,1,True,01__BLO__BUD__LON__250,BUDWEISER Bia Lon 250ml
,,Kho Kệ,01__BLO__BUD__LON__250,Lon,-14.0,0.0,44.0,-58.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,980e2373-eba1-4c90-8a9b-568c576f3f2c,3fb4de52-8bc7-11f1-9b18-005056b2a5de,Bia Lon,BUDWEISER,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,6,0,980e2373-eba1-4c90-8a9b-568c576f3f2c,2,False,01__BLO__BUD__LON__250,BUDWEISER Bia Lon 250ml
,,Kho MIRA,01__BLO__BUD__LON__250,Lon,48.0,0.0,0.0,48.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,980e2373-eba1-4c90-8a9b-568c576f3f2c,3fb4df42-8bc7-11f1-9b18-005056b2a5de,Bia Lon,BUDWEISER,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,7,0,980e2373-eba1-4c90-8a9b-568c576f3f2c,2,False,01__BLO__BUD__LON__250,BUDWEISER Bia Lon 250ml
,,CARLSBERG Bia Lon 330ml,01__BLO__CAR__LON__330,Lon,29.0,0.0,19.0,10.0,,,,,Tổng,,a218506b-981c-40c4-b958-05d2c459f168,3fb4e02e-8bc7-11f1-9b18-005056b2a5de,Bia Lon,CARLSBERG,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,8,1,,1,True,01__BLO__CAR__LON__330,CARLSBERG Bia Lon 330ml
,,Kho Kệ,01__BLO__CAR__LON__330,Lon,5.0,0.0,19.0,-14.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,a218506b-981c-40c4-b958-05d2c459f168,3fb4e12a-8bc7-11f1-9b18-005056b2a5de,Bia Lon,CARLSBERG,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,9,0,a218506b-981c-40c4-b958-05d2c459f168,2,False,01__BLO__CAR__LON__330,CARLSBERG Bia Lon 330ml
,,Kho MIRA,01__BLO__CAR__LON__330,Lon,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,a218506b-981c-40c4-b958-05d2c459f168,3fb4e210-8bc7-11f1-9b18-005056b2a5de,Bia Lon,CARLSBERG,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,10,0,a218506b-981c-40c4-b958-05d2c459f168,2,False,01__BLO__CAR__LON__330,CARLSBERG Bia Lon 330ml
,,HOEGAARDEN Rose Bia Lon 250ml,01__BLO__HGD__ROS__250,Lon,30.0,0.0,14.0,16.0,,,,,Tổng,,03e92136-95f9-450c-8cef-5f9f1507c702,3fb4e2e0-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,11,1,,1,True,01__BLO__HGD__ROS__250,HOEGAARDEN Rose Bia Lon 250ml
,,Kho Kệ,01__BLO__HGD__ROS__250,Lon,6.0,0.0,14.0,-8.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,03e92136-95f9-450c-8cef-5f9f1507c702,3fb4e3aa-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,12,0,03e92136-95f9-450c-8cef-5f9f1507c702,2,False,01__BLO__HGD__ROS__250,HOEGAARDEN Rose Bia Lon 250ml
,,Kho MIRA,01__BLO__HGD__ROS__250,Lon,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,03e92136-95f9-450c-8cef-5f9f1507c702,3fb4e496-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,13,0,03e92136-95f9-450c-8cef-5f9f1507c702,2,False,01__BLO__HGD__ROS__250,HOEGAARDEN Rose Bia Lon 250ml
,,HOEGAARDEN White Bia Lon 250ml,01__BLO__HGD__TRG__250,Lon,22.0,0.0,7.0,15.0,,,,,Tổng,,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,3fb4e5e3-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,14,1,,1,True,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml
,,Kho Kệ,01__BLO__HGD__TRG__250,Lon,-2.0,0.0,7.0,-9.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,3fb4e6e8-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,15,0,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,2,False,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml
