sku_code,barcode,inventory_item_name,inventory_item_category_name,unit_name,latest_inward_unit_price,latest_outward_sale_unit_price,avg_inward_unit_price,avg_outward_sale_unit_price,quantity_closing_balance,amount_closing_balance,revenue_closing_balance,first_inward_date,latest_inward_date,latest_outward_date,latest_outward_sale_date,days_from_first_inward,days_from_latest_inward,days_from_latest_outward,days_from_latest_outward_sale,warehouse_storage_time_report_id,inventory_item_id,session_id,detail_id
01__BLO__BLC__164__250,8934692090051,1664 BLANC Bia Lon 250ml,Bia Lon,Lon,0.0,20909.0,0.0,18739.306358,-13.0,0.0,-243610.982654,2025-12-24T00:00:00,2026-06-28T00:00:00,2026-08-01T00:00:00,2026-08-01T00:00:00,223,37,3,3,cd7eb225-8ef4-11f1-9b18-005056b2a5de,9ee9512e-33d3-4980-9b3a-18657fde9a32,c5954a39-8ef4-11f1-9b18-005056b2a5de,1
01__BLO__BLC__164__330,8934692090020,1664 BLANC Bia Lon 330ml,Bia Lon,Lon,0.0,25455.0,0.0,25293.107143,24.0,337000.0,607034.571432,2025-11-27T00:00:00,2026-06-28T00:00:00,2026-05-15T00:00:00,2026-02-18T00:00:00,250,37,81,167,cd7e5a08-8ef4-11f1-9b18-005056b2a5de,9dffea9a-1e7d-47a6-b704-38830a21e33c,c5954a39-8ef4-11f1-9b18-005056b2a5de,2
10__VPK__KEO__GLU__1,8938531873058,502 Keo Super Glue,Văn Phòng Phẩm,Chai,0.0,9259.0,0.0,9259.034483,17.0,0.0,157403.586211,2025-11-10T00:00:00,2025-11-10T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,267,267,1,1,cd7fe309-8ef4-11f1-9b18-005056b2a5de,ce9c4fe7-3b87-46e9-af59-7342c2c27d99,c5954a39-8ef4-11f1-9b18-005056b2a5de,3
02__MGO__DNT__TBM__83,8934563165161,ACECOOK Đệ Nhất Mì Gia Vị Thịt Bằm Gói 83g,Mì Gói,Gói,0.0,11111.0,0.0,10749.695122,6.0,2499.0,64498.170732,2025-12-27T00:00:00,2026-05-16T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,220,80,2,2,cd802b0e-8ef4-11f1-9b18-005056b2a5de,bce765ca-0390-4f70-a186-7c783fcea76a,c5954a39-8ef4-11f1-9b18-005056b2a5de,4
02__PGI__DNT__BOO__68,8934563215132,ACECOOK Đệ Nhất Phở Bò Gói 68g,Phở Gói,Gói,0.0,10185.0,0.0,10005.172662,0.0,207000.0,0.0,2025-11-09T00:00:00,2026-05-16T00:00:00,2026-07-28T00:00:00,2026-07-28T00:00:00,268,80,7,7,cd7e9e05-8ef4-11f1-9b18-005056b2a5de,f0eabe94-3ef8-40a5-b88c-6ce49330e6e7,c5954a39-8ef4-11f1-9b18-005056b2a5de,5
02__PGI__DNT__GAA__67,8934563216139,ACECOOK Đệ Nhất Phở Gà Gói 67g,Phở Gói,Gói,0.0,10185.0,0.0,9910.703704,0.0,207000.0,0.0,2025-11-15T00:00:00,2026-03-16T00:00:00,2026-07-23T00:00:00,2026-07-23T00:00:00,262,141,12,12,cd7f94ff-8ef4-11f1-9b18-005056b2a5de,bf002d93-ee21-4b61-9d89-bc4816898557,c5954a39-8ef4-11f1-9b18-005056b2a5de,6
02__MGO__HAO__GVG__74,8934563184148,ACECOOK HẢO HẢO Mì Gà Vàng Gói 74g,Mì Gói,Gói,0.0,5556.0,0.0,5555.630435,12.0,46408.0,66667.56522,2026-01-10T00:00:00,2026-01-10T00:00:00,2026-04-23T00:00:00,2026-04-23T00:00:00,206,206,103,103,cd7fc390-8ef4-11f1-9b18-005056b2a5de,9516d258-a699-4e04-9dc2-1655e595267e,c5954a39-8ef4-11f1-9b18-005056b2a5de,7
02__MIL__HAO__TCY__67,8934563651138,ACECOOK HẢO HẢO Mì Ly Tôm Chua Cay 67g,Mì Ly,Ly,0.0,16666.5,0.0,13456.976242,78.0,2301232.0,1049644.146876,2025-11-19T00:00:00,2026-07-25T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,258,10,2,2,cd7d9ab5-8ef4-11f1-9b18-005056b2a5de,5259be17-00c9-4d63-993d-bf5630ae3cac,c5954a39-8ef4-11f1-9b18-005056b2a5de,8
02__MGO__HAO__CAY__75,8934563138165,ACECOOK HẢO HẢO Mì Tôm Chua Cay Gói 75g,Mì Gói,Gói,0.0,5555.5,0.0,5555.667464,23.0,123000.0,127780.351672,2025-11-07T00:00:00,2026-07-25T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,270,10,2,2,cd7d9702-8ef4-11f1-9b18-005056b2a5de,0d72dbc9-99f3-4c92-a057-cc611a7a554b,c5954a39-8ef4-11f1-9b18-005056b2a5de,9
02__MGO__HAO__XTC__75,8934563151157,ACECOOK HẢO HẢO Mì Xào Tôm Chua Ngọt Gói 75g,Mì Gói,Gói,0.0,5555.5,0.0,5555.609756,-18.0,0.0,-100000.975608,2025-11-15T00:00:00,2026-01-10T00:00:00,2026-05-02T00:00:00,2026-05-02T00:00:00,262,206,94,94,cd7e6e36-8ef4-11f1-9b18-005056b2a5de,054f1664-f4ed-4883-a82e-27374588d561,c5954a39-8ef4-11f1-9b18-005056b2a5de,10
02__HGI__NSN__NVG__71,8934563455149,ACECOOK Hủ Tiếu Nam Vang Gói 71g,Hủ Tiếu Gói,Gói,0.0,12963.0,0.0,12185.16,3.0,15000.0,36555.48,2025-11-09T00:00:00,2025-11-09T00:00:00,2026-04-25T00:00:00,2026-04-25T00:00:00,268,268,101,101,cd7fd1ad-8ef4-11f1-9b18-005056b2a5de,f11cae50-fc24-4a35-af30-e82f409bfe86,c5954a39-8ef4-11f1-9b18-005056b2a5de,11
02__MGO__ACE__LTT__81,8934563102166,ACECOOK Mì Lẩu Thái Tôm Gói 81g,Mì Gói,Gói,0.0,11111.0,0.0,10333.910714,42.0,226569.0,434024.249988,2026-03-16T00:00:00,2026-03-16T00:00:00,2026-04-23T00:00:00,2026-04-23T00:00:00,141,141,103,103,cd8054ed-8ef4-11f1-9b18-005056b2a5de,e03347be-661a-499c-8b67-1501de184708,c5954a39-8ef4-11f1-9b18-005056b2a5de,12
02__MNG__PHG__LTT__60,8934563304157,ACECOOK Miến Phú Hương Lẩu Thái Tôm Gói 60g,Miến Gói,Gói,0.0,14815.0,0.0,14550.428571,27.0,269252.0,392861.571417,2025-11-09T00:00:00,2026-07-11T00:00:00,2026-07-27T00:00:00,2026-07-27T00:00:00,268,24,8,8,cd7fc43b-8ef4-11f1-9b18-005056b2a5de,ecf62208-cc73-4609-8f4e-07ad723db987,c5954a39-8ef4-11f1-9b18-005056b2a5de,13
02__MNG__PHG__HEO__55,8934563301156,ACECOOK Miến Phú Hương Sườn Heo Gói 55g,Miến Gói,Gói,0.0,14815.0,0.0,14695.516129,12.0,104026.0,176346.193548,2025-11-09T00:00:00,2026-02-01T00:00:00,2026-07-11T00:00:00,2026-07-11T00:00:00,268,184,24,24,cd7ebeef-8ef4-11f1-9b18-005056b2a5de,8df27c15-ee11-48c8-ace2-3012a2289f72,c5954a39-8ef4-11f1-9b18-005056b2a5de,14
